Date,Msus_kg/day,PP_kg/day,PP_mgl,Q_cumecs,SRP_kg/day,SRP_mgl,SS_mgl,TDP_kg/day,TDP_mgl,TP_kg/day,TP_mgl
2004-03-19,1131.5556313807385,2.422977828535461,0.03375288453622734,0.8308541700253482,1.0925599061841011,0.015219721752317155,15.762945134086241,1.5607998659772875,0.021742459646167365,3.9837776945127485,0.0554953441823947
2004-03-20,1468.8811147621211,3.137119806209193,0.03775539999315264,0.9616970558620803,1.7771802834559989,0.021388457122045696,17.678060595730308,2.538828976365713,0.030554938745779567,5.675948782574906,0.0683103387389322
2004-03-21,1429.3809051419835,3.0448576519664394,0.03796817623337854,0.9281827968837081,1.7352680390123012,0.021638109313523477,17.823817174509788,2.4789543414461446,0.030911584733604967,5.523811993412584,0.0688797609669835
2004-03-22,1190.9434852827144,2.5295668116449117,0.03360226554199068,0.8712922530985725,1.4216397451612774,0.018884781379185398,15.820257861444155,2.030913921658968,0.026978259113122,4.56048073330388,0.06058052465511268
2004-03-23,1425.7354802928144,3.0186372243443724,0.03503018850247559,0.9973663383184495,1.9508833257359355,0.0226392923587263,16.54514236641083,2.7869761796227652,0.03234184622675186,5.805613403967138,0.06737203472922745
2004-03-24,1620.9702105598285,3.421080128782442,0.03772903830564609,1.049479037952192,2.2821436359791556,0.025168391683210292,17.8767070236057,3.2602051942559367,0.03595484526172899,6.681285323038379,0.07368388356737508
2004-03-25,1559.0452814963314,3.278780064945213,0.03605798141465096,1.0524394837270077,2.2413684103939615,0.024649174047824306,17.14540916782515,3.201954871991374,0.035213105782606155,6.480734936936587,0.07127108719725711
2004-03-26,1340.532559640097,2.809032833312344,0.033690267109042424,0.9650251208764409,1.8767190989163527,0.022508518583806432,16.07774016275495,2.6810272841662184,0.032155026548294906,5.490060117478563,0.06584529365733732
2004-03-27,1028.7744294663044,2.1470255645129956,0.028452991706082488,0.873364501677055,1.3751065854565827,0.018223302469083727,13.63361051347059,1.9644379792236897,0.026033289241548185,4.1114635437366855,0.05448628094763067
2004-03-28,856.3657875225288,1.7796201429003422,0.025639191708580422,0.8033582178314029,1.0900840218864596,0.015704965650735744,12.33776021616379,1.557262888409228,0.02243566521533678,3.3368830313095703,0.048074856923917206
2004-03-29,694.681970312209,1.4368796370018226,0.02238089370028709,0.7430691364203402,0.8645001769746252,0.013465488734408114,10.820393672990596,1.2350002528208932,0.019236412477725878,2.6718798898227156,0.04161730617801297
2004-03-30,559.4499503507241,1.1358363568666987,0.01837115613101509,0.7155920964716778,0.8358734220176698,0.013519518941983161,9.04861190896708,1.1941048885966712,0.019313598488547374,2.32994124546337,0.037684754619562465
2004-03-31,503.37899319317495,1.0160960529372116,0.01700184700180991,0.6917113759356642,0.8270848742440773,0.013839213771926671,8.42279881065961,1.1815498203486818,0.019770305388466674,2.1976458732858934,0.036772152390276584
2004-04-01,788.6387388794924,1.5918098000227585,0.020017526087133492,0.920379694129262,1.643327445723953,0.020665377241685136,9.917388703486179,2.3476106367485046,0.029521967488121623,3.939420436771263,0.04953949357525511
2004-04-02,1856.3309110597543,3.746932169174404,0.031238442510883056,1.3882660910974363,3.8465022945554757,0.03206856579496785,15.476364083498348,5.495003277936394,0.04581223684995407,9.241935447110798,0.07705067936083712
2004-04-03,2267.7174150081896,4.577349995441325,0.03626287014895108,1.4609595901424517,4.285365894270844,0.03394970170938488,17.96540405187618,6.121951277529777,0.04849957387054984,10.699301272971102,0.08476244401950092
2004-04-04,1671.501259456865,3.373936985656811,0.03178365661928486,1.228625046545345,3.0855725035423656,0.029067163181592748,15.746121606636036,4.407960719346237,0.041524518830846784,7.781897705003048,0.07330817545013164
2004-04-05,1194.1222058933934,2.410376365925112,0.02647084384021864,1.053909530576729,2.1045614665058485,0.023112373121297308,13.113894944041075,3.006516380722641,0.033017675887567585,5.416892746647752,0.059488519727786224
2004-04-06,1189.2969563387528,2.4006716166488453,0.02565096429412557,1.0832166307675293,2.111418672355059,0.022560322119412887,12.70753298809875,3.0163123890786565,0.03222903159916127,5.416984005727501,0.05787999589328684
2004-04-07,1228.869991334561,2.480585701276433,0.026652481956644065,1.077216099437423,2.1532842623772037,0.023135814223633845,13.203508854482369,3.0761203748245767,0.03305116317661978,5.55670607610101,0.059703645133263844
2004-04-08,1058.602749074449,2.1369153547318973,0.024794845380731675,0.9974983197480786,1.7736474529312103,0.020579811108557187,12.283074958863583,2.5337820756160148,0.029399730155081696,4.6706974303479125,0.054194575535813375
2004-04-09,860.4326791241692,1.73691063735763,0.022546850405429076,0.8916159913840459,1.285648050009314,0.016689007271951616,11.169283256661137,1.8366400714418771,0.02384143895993088,3.573550708799507,0.04638828936535996
2004-04-10,688.7553800581205,1.3903749554940317,0.020061772991465315,0.8021376142812183,0.9218233579512938,0.013301024211039533,9.938077514109642,1.3168905113589913,0.019001463158627906,2.707265466853023,0.03906323615009322
2004-04-11,661.5441625049996,1.3354648433140537,0.01931988569343279,0.8000445377941674,0.9446269379793046,0.013665716889565338,9.570418618462046,1.3494670542561495,0.019522452699379054,2.6849318975702032,0.03884233839281184
2004-04-12,678.2273132994242,1.3691639561595856,0.019542219329632668,0.8109009924023414,1.0258878705803778,0.014642604112019734,9.6804088744942,1.4655541008291113,0.020918005874313906,2.834718056988697,0.04046022520394657
2004-04-13,633.7700839783835,1.2794349928959792,0.019263866283561474,0.7687073385355108,0.9602555364834299,0.014458127498135673,9.542385678108236,1.371793623547757,0.020654467854479535,2.651228616443736,0.03991833413804101
2004-04-14,555.8227340825038,1.1220940163530477,0.017876497998325455,0.7264957188237879,0.8564616222505119,0.01364460932210038,8.855019141393777,1.223516603215017,0.019492299031571972,2.345610619568065,0.03736879702989743
2004-04-15,534.7757966674241,1.0796214721286415,0.017442693168286765,0.7163812818250203,0.8809893972737539,0.014233532898212829,8.640000570481918,1.2585562818196485,0.02033361842601833,2.33817775394829,0.0377763115943051
