Date,C_cover_A,D_snow,EPC0_A_kgmm,EPC0_A_mgl,EPC0_NC_kgmm,P_labile_A_kg,P_labile_NC_kg,Plabile_A_mgkg,Qg,Qq,QsA,QsS,TDPs_A_kg,TDPs_A_mgl,TDPs_NC_kgmm,Vg,VsA,VsS,conc_TDPs_A_kgmm,conc_TDPs_NC_kgmm
2004-01-01,0.2,0.0,5.17,0.09999999999999999,0.0,2873367.9044437115,-70.82190809869039,585.0285868764555,1.1523558586738134,0.0296,0.21011592718786057,0.04659211024768894,1505.4366010092917,0.10000488664554795,-0.037111551666737956,74.90313081379787,291.17273486525215,291.21984132436853,5.170252639574829,-0.00012743483238630745
2004-01-02,0.2,0.0,5.170252639574829,0.10000488664554795,-0.00012743483238630748,2873507.6410578615,-141.64379504502492,585.0570377802833,1.1366832490378347,0.015600000000000001,0.3532656730610004,0.10548890750157355,1506.8665451079014,0.10000975004791166,-0.07434326933642094,73.88441118745925,291.4351333116408,291.6913650935614,5.170504077477033,-0.0002548696267116957
2004-01-03,0.2,0.0,5.170504077477034,0.10000975004791167,-0.00025486962671169574,2873648.0412533656,-212.46567175824646,585.0856237917878,1.1214224499587826,0.006,0.23451414168680987,0.10149287053211323,1505.8430343707732,0.10001463654560475,-0.11150445193784705,72.89245924732087,291.22295226751163,291.6640540170147,5.170756709407765,-0.0003823044026239252
2004-01-04,0.2,0.0,5.170756709407765,0.10001463654560475,-0.0003823044026239252,2873787.1582405455,-283.28747896742715,585.1139485372179,1.1069995621198778,0.0196,0.4690569329579263,0.19737187546638085,1507.9188815274742,0.10001947838243039,-0.14897492423725006,71.95497153779206,291.6102941047203,292.25723087595895,5.1710070323716515,-0.0005097390534726534
2004-01-05,0.2,0.0,5.1710070323716515,0.10001947838243039,-0.0005097390534726534,2873927.593014696,-354.10929446902196,585.1425415890657,1.0928282948755237,0.0032,0.23060404962489223,0.1573631576847502,1505.9489248589537,0.10002436608360095,-0.18606699312931338,71.03383916690903,291.2151012518859,292.0192523798951,5.17125972652217,-0.0006371737192425046
2004-01-06,0.2,0.0,5.1712597265221705,0.10002436608360098,-0.0006371737192425046,2874067.54433636,-424.93104971189103,585.1710362081564,1.078565540456891,0.013200000000000002,0.3140764520795952,0.1994125952913011,1506.8223663381527,0.10002923695865922,-0.22347159143018538,70.10676012969792,291.3698154876847,292.26938587220434,5.171511550762681,-0.0007646082765845993
2004-01-07,0.2,0.0,5.1715115507626805,0.10002923695865919,-0.0007646082765845993,2874197.9897906105,-495.7523521051837,585.1975953966427,1.0716558580771671,0.0892,2.0760998387125937,0.6006945489926523,1521.280541620048,0.10003377699087909,-0.2640506333173225,69.65763077501586,294.1521996774252,296.0069454899265,5.171746270428449,-0.0008920420190826517
2004-01-08,0.2,0.0,5.171746270428449,0.10003377699087909,-0.0008920420190826518,2874298.4147960045,-566.571804002809,585.2180423080534,1.0896616552960046,0.3348,7.634923943147527,2.0840104718685097,1578.8333600802432,0.10003727218941082,-0.3168929174752811,70.82800759424029,305.26984788629505,310.8401047186851,5.17192697219254,-0.0010194724318539072
2004-01-09,0.2,0.0,5.171926972192541,0.10003727218941084,-0.0010194724318539075,2874416.3642247636,-637.3915699687125,585.2420572584269,1.115586514635907,0.002,4.579161857765627,1.87421930269378,1547.288495154246,0.1000413773091328,-0.354097473916371,72.51312345133395,299.15832371553125,308.7421930269378,5.172139206882166,-0.0011469034097502699
2004-01-10,0.2,0.0,5.172139206882166,0.1000413773091328,-0.0011469034097502699,2874537.9696114124,-708.2109317082569,585.2668165756719,1.1310480326169963,0.0584,3.815741907834223,1.947408019009322,1539.4565923165517,0.10004560967105501,-0.394373237374686,73.51812212010476,297.63148381566845,309.4740801900932,5.172358019993545,-0.0012743336602937597
2004-01-11,0.2,0.0,5.172358019993545,0.10004560967105501,-0.0012743336602937597,2874667.813608177,-779.0303864216667,585.2932533051363,1.1396506953679375,0.0028000000000000004,2.2784237332612634,1.7543393416038782,1523.622291839686,0.10005012877010876,-0.4311032813573142,74.07729519891593,294.5568474665225,307.5433934160388,5.172591657414623,-0.001401764078131654
2004-01-12,0.2,0.0,5.172591657414624,0.10005012877010877,-0.001401764078131654,2874802.646193559,-849.8498912685718,585.3207057301352,1.140548550595196,0.002,1.3147346714473855,1.5759295426425353,1513.9603137420177,0.10005482149233079,-0.46756545923977094,74.13565578868774,292.675201713821,305.75929542642535,5.172834271153502,-0.0015291945861782667
2004-01-13,0.2,0.0,5.172834271153502,0.10005482149233079,-0.001529194586178267,2874941.6370258243,-920.6694662160762,585.3490047899469,1.135737858111659,0.0016,0.5112474934056311,1.4126370198824874,1508.829676987744,0.10005965893845248,-0.503823415048466,73.82296077725783,291.6692576247963,304.1263701988249,5.173084367117993,-0.001656625220361811
2004-01-14,0.2,0.0,5.173084367117992,0.10005965893845245,-0.0016566252203618105,2875082.1427777694,-991.4891245148507,585.3776122931425,1.1273578452988295,0.0016,0.21839023645460698,1.2649014097638485,1506.4245923494716,0.10006454910993888,-0.5399427908645079,73.27825994442392,291.1901036640852,302.6490140976385,5.17333718898384,-0.0017840560045251474
2004-01-15,0.2,0.0,5.17333718898384,0.10006454910993888,-0.0017840560045251474,2875219.7615424055,-1062.3085651899733,585.4056319947888,1.119528896497338,0.0304,0.7476042510643873,1.265519814120188,1510.5411827734245,0.10006933880252801,-0.5785212942594102,72.76937827232697,291.9718602226049,302.6551981412019,5.173584816090698,-0.001911486397102966
