,N obs,NSE,log NSE,Spearmans r,r$^2$,Bias (%),nRMSD (%),Reach
Q,480,0.700317412581,0.778414092253,0.882306563831,0.729676049555,4.5222447978,37.0194539754,1
SS,398,0.125885943985,0.108278859948,0.56021877837,0.134733376918,-6.12885960086,28.6183237399,1
PP,384,0.107422002139,-0.268785785677,0.223532635583,0.12928827791,0.597721414955,48.0243151888,1
TDP,399,0.155862798148,0.0749558290666,0.432152278565,0.28594986592,1.98572843486,64.9827829515,1
TP,384,0.161730995999,0.0186522602945,0.288765438899,0.185494829711,1.64160402646,49.7204165065,1
