Date,Msus,PP_mgl,PPr,Qr,SS_mgl,Sim_Q_cumecs,TDP_mgl,TDPr,TP_mgl,Vr
2004-01-19,1660.09585812,0.0303812954639,3.34730621363,2.13107440116,15.0675975083,1.27519151088,0.0416276705185,4.58639297824,0.0720089659824,0.361136056922
2004-01-20,1748.63583894,0.0314683750625,3.52587713571,2.16721657603,15.6065359936,1.29681825209,0.0412371139851,4.62041643567,0.0727054890476,0.35917206791
2004-01-21,1566.30579135,0.0302061670114,3.15827537201,2.0223849808,14.9803575533,1.21015397578,0.037288876662,3.8988243946,0.0674950436733,0.336163548276
2004-01-22,1191.72311535,0.0266498699669,2.40300626833,1.74409150304,13.2164724159,1.04362882763,0.0293305039486,2.64471777646,0.0559803739155,0.30384194929
2004-01-23,1007.44753972,0.0238610534042,2.03146247129,1.64675369981,11.8332284681,0.985383868982,0.0250509875348,2.13277009123,0.048912040939,0.310035416744
2004-01-24,941.794920973,0.0234145864909,1.89910426455,1.56881514589,11.6116524223,0.938747025958,0.0238092858335,1.93111743741,0.0472238723243,0.291241512392
2004-01-25,819.70475085,0.0216661975021,1.65293786764,1.47564974919,10.7444359362,0.882998750382,0.0207305864813,1.58155908115,0.0423967839834,0.28671935764
2004-01-26,1013.22102668,0.0232601645444,2.04319521868,1.69905148007,11.5347214916,1.01667779537,0.0282098128497,2.47797708501,0.0514699773941,0.333087926939
2004-01-27,1110.67670469,0.0256370134248,2.23974635957,1.68982163241,12.7132402591,1.01115484254,0.0308995479791,2.69950126217,0.0565365614038,0.296795843378
2004-01-28,834.933299118,0.0220945972195,1.6837186595,1.47398441965,10.9564117764,0.882002251111,0.0229328945446,1.74760110255,0.045027491764,0.282523941823
2004-01-29,723.446858593,0.0204121537724,1.45891852121,1.38245710001,10.1219556193,0.827234167483,0.0197957815494,1.41486452955,0.0402079353219,0.274838418946
2004-01-30,1134.34625175,0.0260618074639,2.32438870255,1.72509763904,12.7186617188,1.03226328632,0.0306751897753,2.7358449586,0.0567369972392,0.346957711545
2004-01-31,1426.42776597,0.0322651518651,2.9416950776,1.76349160718,15.6453701963,1.05523745476,0.0353303682135,3.22115856444,0.0675955200786,0.299685327255
2004-02-01,1287.40553616,0.0302081610929,2.6682712855,1.70850065993,14.5750374182,1.02233199211,0.0311942645967,2.75537329928,0.0614024256895,0.324278664744
2004-02-02,2229.143023,0.0397190529381,4.64190607716,2.26051254276,19.0739425282,1.35264465811,0.0424243157028,4.95806607441,0.0821433686409,0.398464336909
2004-02-03,2439.70513604,0.0456293668651,5.10002796824,2.16190980865,21.8277627864,1.29364279059,0.0423578191935,4.73436467351,0.0879871860586,0.329746509108
2004-02-04,1710.77359884,0.0379848682814,3.59017111469,1.82815906624,18.100393473,1.09393314496,0.0316249543058,2.98905860646,0.0696098225872,0.324060707673
