Date,C_cover_A,D_snow,EPC0_A_kgmm,EPC0_A_mgl,EPC0_NC_kgmm,P_labile_A,P_labile_NC,Plabile_A_mgkg,Qg,Qq,QsA,QsS,TDPs_A,TDPs_A_mgl,TDPs_NC,Vg,VsA,VsS
2004-11-27,0.167519125683,0.0,5.25061989131,0.101559378942,0.0,2918098.66576,0.0,594.135939276,1.23883455927,0.2936,8.80828679445,2.59764294564,1569.05762746,0.101561700271,0.0,80.5242463528,298.826004741,315.976429372
2004-11-28,0.15818579235,0.0,5.25073983942,0.101561699022,0.0,2918237.85213,0.0,594.16427815,1.26380120633,0.0172,3.43839119954,2.39188883688,1541.35969406,0.101566545855,0.0,82.1470784117,293.536946475,313.91888837
2004-11-29,0.12131147541,0.0,5.25099028724,0.101566543273,0.0,2918380.92247,0.0,594.193407813,1.26720743908,0.0024,0.980867264319,2.13671224122,1529.47368687,0.101571525322,0.0,82.3684835402,291.259092675,311.367122424
2004-11-30,0.12131147541,0.0,5.25124772375,0.101571522703,0.0,2918524.62283,0.0,594.222665751,1.26134982555,0.0,0.198609162267,1.89463829632,1524.72897318,0.101576526676,0.0,81.9877386609,290.341256123,308.946383079
2004-12-01,0.12131147541,0.0,5.2515062939,0.10157652406,0.0,2918668.21624,0.0,594.251901913,1.25192310933,0.0012,0.0,1.67746713524,1522.4774237,0.101581524303,0.0,81.3750021065,289.898249409,306.774672229
2004-12-02,0.12131147541,0.0,5.25176467161,0.101581521694,0.0,2918810.13002,0.0,594.280796095,1.24103452306,0.0076,0.0,1.51083475335,1522.44617197,0.101586463447,0.0,80.6672439992,289.878204105,305.108351877
2004-12-03,0.12131147541,0.0,5.25202002702,0.101586460871,0.0,2918953.19867,0.0,594.309925414,1.22916550348,0.0032,0.0,1.33957156804,1521.52113497,0.101591442838,0.0,79.895757726,289.687874933,303.395736573
2004-12-04,0.12131147541,0.0,5.2522774605,0.101591440242,0.0,2919096.58236,0.0,594.339118877,1.21625156528,0.002,0.0,1.17898809008,1520.62343908,0.101596433177,0.0,79.0563517431,289.502738535,301.789973397
2004-12-05,0.12131147541,0.0,5.25253546084,0.101596430577,0.0,2919240.49112,0.0,594.368419245,1.20241198154,0.0,0.0,1.02435017527,1519.4873612,0.101601441795,0.0,78.1567788004,289.272186338,300.24387592
2004-12-06,0.12131147541,0.0,5.25279440598,0.101601439187,0.0,2919384.29497,0.0,594.397698253,1.18782019434,0.0004,0.0,0.886201173945,1518.63586558,0.10160644675,0.0,77.2083126318,289.095841929,298.863322888
2004-12-07,0.12131147541,0.0,5.25305316234,0.101606444146,0.0,2919527.99391,0.0,594.4269559,1.1726640473,0.0008,0.0,0.762904325455,1517.97623286,0.101611448054,0.0,76.2231630742,288.956047547,297.632888483
